Plot,Crop_ID,Rot,Variety,Planted,Harvested,Year,Moisture, bu_p_acre,lb_p_ac,Standardized_lb_ac,Standardized_yield_MgpHa,Standardized_yield_bu_ac,Conversion_factor,Standard_moisture
12,O4,4-year,INO9201,12-Apr-17,17-Jul-17,2017,14.8,94.296875,3102.367188,3536.698594,3.964908737,91.58866875,892,14
15,O3,3-year,INO9201,12-Apr-17,17-Jul-17,2017,14.5,89.53125,2945.578125,3357.959063,3.764528097,87.26610938,892,14
21,O4,4-year,INO9201,12-Apr-17,17-Jul-17,2017,15.3,92.96875,3058.671875,3486.885938,3.909064952,89.76876563,892,14
26,O3,3-year,INO9201,12-Apr-17,17-Jul-17,2017,15.3,81.796875,2691.117188,3067.873594,3.439320172,78.98142656,892,14
31,O4,4-year,INO9201,12-Apr-17,17-Jul-17,2017,15.6,89.6875,2950.71875,3363.819375,3.771097954,86.293725,892,14
36,O3,3-year,INO9201,12-Apr-17,17-Jul-17,2017,14.8,77.265625,2542.039063,2897.924531,3.248794318,75.04655625,892,14
43,O4,4-year,INO9201,12-Apr-17,17-Jul-17,2017,13.8,98.59375,3243.734375,3697.857188,4.145579807,96.88610625,892,14
47,O3,3-year,INO9201,12-Apr-17,17-Jul-17,2017,13.5,67.734375,2228.460938,2540.445469,2.848033037,66.79286719,892,14
11,O3,3-year,INO9202,16-Apr-19,24-Jul-19,2019,12.7,80.390625,2644.851563,3015.130781,3.380191459,80.00635781,892,14
14,O4,4-year,INO9203,16-Apr-19,24-Jul-19,2019,13.4,86.40625,2842.765625,3240.752813,3.633130956,85.30370625,892,14
23,O3,3-year,INO9204,16-Apr-19,24-Jul-19,2019,12.8,84.609375,2783.648438,3173.359219,3.557577599,84.1084875,892,14
29,O4,4-year,INO9205,16-Apr-19,24-Jul-19,2019,11.9,81.25,2673.125,3047.3625,3.416325673,81.602625,892,14
32,O4,4-year,INO9206,16-Apr-19,24-Jul-19,2019,13.6,85.078125,2799.070313,3190.940156,3.577287171,83.79855,892,14
38,O3,3-year,INO9207,16-Apr-19,24-Jul-19,2019,15,80.78125,2657.703125,3029.781563,3.396616101,78.27703125,892,14
48,O3,3-year,INO9208,16-Apr-19,24-Jul-19,2019,13.7,73.359375,2413.523438,2751.416719,3.084547891,72.17242031,892,14
49,O4,4-year,INO9209,16-Apr-19,24-Jul-19,2019,11.1,49.8515625,1640.116406,1869.732703,2.096112896,50.52256453,892,14
15,O3,4-year,INO9210,2-Apr-20,24-Jul-20,2020,14.4,.,2070.957504,2360.891555,2.646739411,36.88893054,892,14
18,O4,3-year,INO9211,2-Apr-20,24-Jul-20,2020,15.3,.,2560.486368,2918.95446,3.27237047,45.60866343,892,14
26,O3,3-year,INO9212,2-Apr-20,24-Jul-20,2020,15.2,.,2200.359744,2508.410108,2.812118955,39.19390794,892,14
28,O4,4-year,INO9213,2-Apr-20,24-Jul-20,2020,15.35,.,2337.69624,2664.973714,2.987638692,41.64021428,892,14
36,O3,3-year,INO9214,2-Apr-20,24-Jul-20,2020,14,.,2293.55808,2614.656211,2.931228936,40.8540033,892,14
37,O4,4-year,INO9215,2-Apr-20,24-Jul-20,2020,14,.,2991.47904,3410.286106,3.823190701,53.2857204,892,14
46,O4,4-year,INO9216,2-Apr-20,24-Jul-20,2020,14,.,2332.15488,2658.656563,2.980556685,41.5415088,892,14
47,O4,4-year,INO9217,2-Apr-20,24-Jul-20,2020,14,.,2089.67616,2382.230822,2.670662357,37.2223566,892,14
